Player,GP-GS,MIN/G,FG%,3FG%,FT%,R/G,A/G,STL,BLK,PTS/G
"AKAMETU, Kosy",9-0,9.2,0.565,0.571,0.583,1.3,0.1,0,0,4.1
"BAL, Adama",21-21,31.9,0.424,0.363,0.785,2.6,3.0,10,3,14.1
"BRYAN, Tyeree",20-13,26.3,0.475,0.404,0.686,4.4,1.5,22,9,10.9
"DOUYON, Malachi",2-0,0.7,0.0,0.0,0.0,0.5,0.0,0,0,0.0
"ENSMINGER, Jake",21-12,19.6,0.279,0.143,0.6,5.9,2.1,10,2,2.3
"KNAPPER, Brenton",20-1,13.0,0.451,0.303,0.75,1.1,1.5,15,0,4.0
"MAHI, Elijah",19-8,23.5,0.497,0.415,0.643,4.1,2.1,10,5,11.6
"MCELDON, Luke",3-0,2.9,1.0,0.0,0.0,1.0,0.0,0,0,2.0
"O'NEIL, Johnny",21-9,21.0,0.398,0.383,0.762,5.2,1.5,14,18,6.7
"OBOYE, Bukky",16-0,3.7,0.4,0.5,0.667,1.0,0.0,2,2,0.8
"STEWART, Carlos",21-20,28.8,0.448,0.355,0.782,2.9,2.8,30,2,12.0
"TILLY, Christoph",20-20,24.0,0.576,0.368,0.757,4.9,1.8,17,17,13.2
"TONGUE, Camaron",21-1,13.5,0.478,0.222,0.709,3.7,0.5,9,8,6.2
"YARUSSO, Brendan",2-0,0.7,0.0,0.0,0.0,0.0,0.0,0,0,0.0
